DeploymentID,City,State,Agency,TechnologyID,VendorID,Summary,Link,Latitude,Longitude
3871,East Lansing,MI,East Lansing Police Department,1,6,"The East Lansing Police Department launched its body-worn camera program in 2015. The U.S. Department of Justice awarded $76,500 to the ELPD in 2017 as part of the Bureau of Justice Assistance's body-worn camera grant program. As of 2019, the department uses Axon-brand BWCs.",https://www.cityofeastlansing.com/1028/Body-Worn-Camera-Reviews,42.7320307,-84.4721678
3872,Chelsea,MA,Chelsea Police Department,2,2,The Chelsea Police Department uses ShotSpotter gunshot detection technology.,https://chelseapolice.com/2019/08/27/calibrating-gunshot-detection-system-on-wednesday-august-28th/,42.3912241,-71.0369301
3873,Lubbock,TX,Lubbock Police Department,3,4,"In 2013, the Lubbock Police Department received a $80,000 federal grant for automated license plate readers.",https://www.kcbd.com/story/23542039/federal-grant-could-mean-more-license-plate-readers/,33.5855677,-101.8470215
3874,Tacoma,WA,Tacoma Police Department,4,12,The Tacoma Police Department began using PredPol (now Geolitica) predictive policing software in 2013.,https://q13fox.com/2013/02/05/tacoma-police-set-to-enlist-new-crime-fighting-tool/#axzz2LHHlP3vk,47.2455013,-122.438329
3875,Sacramento,CA,Sacramento County Sheriff's Office,2,2,"The Sacramento County Sheriff's Office implemented a ShotSpotter gunshot detection system in 2017. However, the sheriff announced plans to end the contract after 2020 due to budget constraints.",https://fox40.com/news/local-news/sacramento-countys-shotspotter-program-cut-from-sheriffs-office-budget/,38.5810606,-121.493895
3876,Waco,TX,Waco Police Department,3,4,"In 2010, the Waco Police Department purchased four automated license plate readers for $65,000.",https://www.wacotrib.com/news/waco-police-put-license-plate-scanners-to-use/article_17325429-bce1-5985-a29f-dd187c68fd71.html,31.5491899,-97.1474628
3877,Carlisle,PA,Carlisle Police Department,1,6,"The U.S. Department of Justice awarded $43,500 to the Carlisle Police Department in 2015 as part of the Bureau of Justice Assistance's body-worn camera grant program. In 2018, the Carlisle City Council voted to spend $25,980 on Axon body-worn cameras.",https://cms8.revize.com/revize/carlislepa/Meetings/Borough%20Council/2018/Minutes/Council%20Minutes%20011118.pdf,40.201499,-77.1890783
3878,Staunton,VA,Staunton Police Department,1,6,"In 2018, the Staunton Police Department replaced 53 body-worn cameras and 10 docking stations as part of the City's contract with Axon.",https://www.stauntonbusiness.com/Home/ShowDocument?id=5436,38.1495947,-79.072557
3879,Whiteville,NC,Whiteville Police Department,1,6,The Whiteville Police Department officers began using Axon body-worn cameras in 2019.,https://whitevillenc.gov/news/2019/5/7/whiteville-police-look-to-use-body-cameras,34.3387802,-78.7030721
3880,Brookings,SD,South Dakota State University Police Department,1,4,The South Dakota State University Police Department received funding to buy body-worn cameras in 2016.,https://www.sdbor.edu/the-board/agendaitems/2014AgendaItems/2016-October/6_B_BOR%201016.pdf,44.311461,-96.79844
