City,State,Agency,tech_type,Vendor,date,year
Amarillo,TX,Randall County Sheriff's Office,Drones,Aeryon Labs,2020,2020.0
Huntsville,MO,Randolph County Sheriff's Office,Drones,,2020,2020.0
Asheboro,NC,Randolph County Sheriff's Office,Drones,DJI,2020,2020.0
Brandon,MS,Rankin County Sheriff's Office,Drones,DJI,2020,2020.0
Ranson,WV,Ranson Police Department,Drones,DJI,2020,2020.0
Alexandria,LA,Rapides Parish Sheriff's Office,Drones,DJI,2020,2020.0
Raymore,MO,Raymore Police Department,Drones,DJI,2020,2020.0
Red Bluff,CA,Red Bluff Police Department,Drones,DJI,2022,2022.0
Coushatta,LA,Red River Parish Sheriff's Office,Drones,,2020,2020.0
Fargo,ND,Fargo Police Department,Drones,DJI,2020,2020.0
West Fargo,ND,West Fargo Police Department,Drones,DJI,2020,2020.0
Redding,CA,Redding Police Department,Drones,DJI,5/14/2024,2024.0
Redlands,CA,Redlands Police Department,Drones,DJI,04/27/2022,2022.0
Redmond,OR,Redmond Police Department,Drones,"MAVIC, Autel, DJI",11/18/2024,2024.0
Redmond,WA,Redmond Police Department,Drones,,2020,2020.0
Pecos,TX,Reeves County Sheriff's Office,Drones,DJI,2020,2020.0
Hutchinson,KS,Reno County Sheriff's Office,Drones,,2020,2020.0
Renton,WA,Renton Police Department,Drones,"DJI, Autel Robotics",2020,2020.0
Olivia,MN,Renville County Sheriff's Office,Drones,,6/14/2024,2024.0
Faribault,MN,Rice County Sheriff's Office,Drones,DJI,6/14/2024,2024.0
Mansfield,OH,Richland County Sheriff's Office,Drones,DJI,2020,2020.0
Columbia,SC,Richland County Sheriff's Office,Drones,DJI,2020,2020.0
Richland,MS,Richland Police Department,Drones,,2020,2020.0
Staten Island,NY,Richmond County District Attorney's Office,Drones,Draganfly Innovations,2020,2020.0
Augusta,GA,Richmond County Sheriff's Office,Drones,DJI,2020,2020.0
Richmond Hill,GA,Richmond Hill Police Department,Drones,DJI,2020,2020.0
Richmond,CA,Richmond Police Department,Drones,,03/05/2024,2024.0
Richmond,IN,Richmond Police Department,Drones,DJI,2020,2020.0
Richmond,VA,Richmond Police Department,Drones,DJI,2020,2020.0
Manhattan,KS,Riley County Police Department,Drones,DJI,2020,2020.0
Rio Rancho,NM,Rio Rancho Police Department,Drones,DJI,2020,2020.0
Versailles,IN,Ripley County Sheriff's Office,Drones,DJI,2020,2020.0
Ripon,CA,Ripon Police Department,Drones,DJI,06/18/2022,2022.0
River Vale,NJ,River Vale Police Department,Drones,Leptron,2020,2020.0
Riverside,CA,Riverside County Sheriff's Department,Drones,"DJI, Loki",05/09/2023,2023.0
Riviera Beach,FL,Riviera Beach Police Department,Drones,DJI,2020,2020.0
Lumberton,NC,Robeson County Sheriff's Office,Drones,DJI,2020,2020.0
Rochester,MN,Rochester Police Department,Drones,Lockheed Martin,6/14/2024,2024.0
Janesville,WI,Rock County Sheriff's Office,Drones,DJI,2020,2020.0
Claremore,OK,Rogers County Sheriff's Office,Drones,"3DR, DJI",2020,2020.0
Rogers,AR,Rogers Police Department,Drones,,03/21/2021,2021.0
Rome,NY,Rome Police Department,Drones,Yuneec,2020,2020.0
Roseville,CA,Roseville Police Department,Drones,DJI,2024,2024.0
Ross Township,PA,Ross Township Police Department,Drones,DJI,2020,2020.0
Roswell,GA,Roswell Police Department,Drones,DJI,2020,2020.0
Round Rock,TX,Round Rock Police Department,Drones,,2020,2020.0
Steamboat Springs,CO,Routt County Sheriff's Office,Drones,DJI,2020,2020.0
Rupert,ID,Rupert Police Department,Drones,DJI,2020,2020.0
Rushville,IN,Rushville Police Department,Drones,DJI,2020,2020.0
Phenix City,AL,Russell County Sheriff's Office,Drones,DJI,2020,2020.0
Lebanon,VA,Russell County Sheriff's Office,Drones,Parrot,2020,2020.0
Russellville,AL,Russellville Police Department,Drones,,2020,2020.0
Murfreesboro,TN,Rutherford County Sheriff's Office,Drones,,2020,2020.0
Sacramento,CA,Sacramento Police Department,Drones,"DJI, Happymodel, Holybro, iFlight",2023,2023.0
Sahuarita,AZ,Sahuarita Police Department,Drones,DJI,03/21/23,2023.0
Salem,OR,Salem Police Department,Drones,"Autel, DJI",11/18/2024,2024.0
Salt Lake City,UT,Salt Lake County Sheriff's Office,Drones,DJI,2020,2020.0
Salt River,AZ,Salt River Police Department,Drones,"DJI, Yuneec",06/30/2020,2020.0
San Angelo,TX,San Angelo Police Department,Drones,,2020,2020.0
San Bernardino,CA,San Bernardino Police Department,Drones,DJI,3/2024,2024.0
San Diego,CA,San Diego County Sheriff's Department,Drones,"DJI, Autel Robotics",4/9/2024,2024.0
San Diego,CA,San Diego Harbor Police Department,Drones,"DJI, Loki, Parrot",2023,2023.0
San Diego,CA,San Diego Police Department,Drones,"Aardvark, Acecore Technologies, Brinc, DJI, Fotokite, Parrot, Shield A.I., Skydio, Teledyne",03/2024,2024.0
French Camp,CA,San Joaquin County Sheriff's Office,Drones,"Brinc, DJI, Skydio",03/2023,2023.0
San Jose,CA,San Jose Police Department,Drones,"Autel Robotics, Brincs, DJI",2022,2022.0
San Luis Obispo,CA,San Luis Obispo County Sheriff's Office,Drones,DJI,2022,2022.0
San Marcos,TX,San Marcos Police Department,Drones,,2020,2020.0
San Pablo,CA,San Pablo Police Department,Drones,"Nightingale Blackbird, Aardvark Tactical, DJI",12/30/2023,2023.0
San Ramon,CA,San Ramon Police Department,Drones,DJI,04/11/2023,2023.0
Fremont,OH,Sandusky County Sheriff's Office,Drones,DJI,2020,2020.0
Sandy Springs,GA,Sandy Springs Police Department,Drones,DJI,2020,2020.0
Sandusky,MI,Sanilac County Sheriff's Office,Drones,,2020,2020.0
Santa Cruz,CA,Santa Cruz County Sheriff's Office,Drones,DJI,05/16/2023,2023.0
Santa Monica,CA,Santa Monica Police Department,Drones,,6/21/2024,2024.0
Santa Rosa,CA,Santa Rosa Police Department,Drones,"Autel Robotics, DJI, Loki",2024,2024.0
Sapulpa,OK,Sapulpa Police Department,Drones,DJI,2020,2020.0
Venice,FL,Sarasota County Sheriff's Office,Drones,Draganfly,2020,2020.0
Ballston Spa,NY,Saratoga County Sheriff's Office,Drones,"DJI, Skydio",2022,2022.0
Papillion,NE,Sarpy County Sheriff's Office,Drones,,2020,2020.0
Baraboo,WI,Sauk County Sheriff's Office,Drones,DJI,2020,2020.0
Savannah,GA,Savannah Police Department,Drones,DJI,4/13/2020,2020.0
Schenectady,NY,Schenectady County Sheriff's Office,Drones,,2020,2020.0
Schuylkill Township,PA,Schuylkill Township Police Department,Drones,,2020,2020.0
Benton,MO,Scott County Sheriff's Office,Drones,DJI,2020,2020.0
Scottsdale,AZ,Scottsdale Police Department,Drones,DJI,06/30/2020,2020.0
Scranton,PA,Scranton Police Department,Drones,DJI,2020,2020.0
Wichita,KS,Sedgwick County Sheriff's Office,Drones,DJI,2020,2020.0
Selma,AL,Selma Police Department,Drones,DJI,2020,2020.0
Selma,CA,Selma Police Department,Drones,DJI,2022,2022.0
Romulus,NY,Seneca County Sheriff's Office,Drones,DJI,2022,2022.0
Shawano,WI,Shawano County Sheriff's Office,Drones,DJI,2020,2020.0
Topeka,KS,Shawnee County Sheriff's Office,Drones,DJI,2020,2020.0
Shawnee,KS,Shawnee Police Department,Drones,,2020,2020.0
Sheboygan,WI,Sheboygan County Sheriff's Office,Drones,DJI,2020,2020.0
Sidney,OH,Shelby County Sheriff's Office,Drones,,2020,2020.0
Memphis,TN,Shelby County Sheriff's Office,Drones,,2020,2020.0
Columbiana,AL,Shelby County Sheriff's Office,Drones,DJI,2020,2020.0
Sherman,TX,Sherman Police Department,Drones,,2020,2020.0
Sherwood,AR,Sherwood Police Department,Drones,,2023,2023.0
Tokeland,WA,Shoalwater Bay Tribe Police Department,Drones,SwellPro,2020,2020.0
Sierra Vista,AZ,Sierra Vista Police Department,Drones,DJI,08/28/2023,2023.0
Sioux City,IA,Sioux City Police Department,Drones,,2020,2020.0
Orange City,IA,Sioux County Sheriff's Office,Drones,DJI,2020,2020.0
Mount Vernon,WA,Skagit County Sheriff's Office,Drones,DJI,2020,2020.0
Slidell,LA,Slidell Police Department,Drones,DJI,2020,2020.0
Tyler,TX,Smith County Sheriff's Office,Drones,DJI,2020,2020.0
Somerville,NJ,Somerset County Sheriff's Office,Drones,Lockheed Martin,2020,2020.0
Somerset,KY,Somerset Police Department,Drones,DJI,2020,2020.0
Santa Rosa,CA,Sonoma County Sheriff's Office,Drones,"DJI, Loki, Parrot",2023,2023.0
Blythewood,SC,South Carolina Highway Patrol,Drones,DJI,2020,2020.0
Pierre,SD,South Dakota Highway Patrol,Drones,DJI,2020,2020.0
South Padre Island,TX,South Padre Island Police Department,Drones,Yuneec,2020,2020.0
South Sioux City,NE,South Sioux City Police Department,Drones,,2020,2020.0
South Windsor,CT,South Windsor Police Department,Drones,,01/07/2024,2024.0
Landenberg,PA,Southern Chester County Regional Police Department,Drones,DJI,2020,2020.0
Southside,AL,Southside Police Department,Drones,DJI,2020,2020.0
Griffin,GA,Spalding County Sheriff's Office,Drones,DJI,2020,2020.0
Splendora,TX,Splendora Police Department,Drones,DJI,2020,2020.0
Spokane,WA,Spokane County Sheriff's Office,Drones,DJI,2020,2020.0
Spotsylvania,VA,Spotsylvania County Sheriff's Office,Drones,,2020,2020.0
Spring Hill,TN,Spring Hill Police Department,Drones,DJI,2020,2020.0
O'Fallon,MO,St. Charles County Police Department,Drones,,2020,2020.0
Luling,LA,St. Charles Parish Sheriff's Office,Drones,DJI,2020,2020.0
Port Huron,MI,St. Clair County Sheriff's Office,Drones,,2020,2020.0
St. Cloud,FL,St. Cloud Police Department,Drones,DJI,2020,2020.0
Convent,LA,St. James Parish Sheriff's Office,Drones,DJI,2020,2020.0
Laplace,LA,St. John the Baptist Parish Sheriff's Office,Drones,,2020,2020.0
St. Martinville,LA,St. Martin Parish Sheriff's Office,Drones,"DJI, 3DR",2020,2020.0
St. Anthony,ID,St. Anthony Police Department,Drones,DJI,2020,2020.0
St. Cloud,MN,St. Cloud Police Department,Drones,,6/14/2024,2024.0
Clayton,MO,St. Louis County Police Department,Drones,,2020,2020.0
Leonardtown,MD,St. Mary's County Sheriff's Office,Drones,,2020,2020.0
St. Petersburg,FL,St. Petersburg Police Department,Drones,,2020,2020.0
Dover,NH,Stafford County Sheriff's Office,Drones,DJI,2020,2020.0
Stafford,VA,Stafford County Sheriff's Office,Drones,DJI,2020,2020.0
Stamford,CT,Stamford Police Department,Drones,DJI,2020,2020.0
Modesto,CA,Stanislaus County Sheriff's Office,Drones,"DJI, Mavic",12/31/2023,2023.0
Rio Grande City,TX,Starr County Sheriff's Office,Drones,Autel Robotics,2020,2020.0
Genevieve,MO,Ste. Genevieve County Sheriff's Office,Drones,DJI,2020,2020.0
St. Cloud,MN,Stearns County Sheriff's Office,Drones,DJI,6/14/2024,2024.0
Sterling Heights,MI,Sterling Heights Police Department,Drones,DJI,2020,2020.0
Columbus,MT,Stillwater County Sheriff's Office,Drones,HeliProz,2020,2020.0
Stockton,CA,Stockton Police Department,Drones,DJI,2024,2024.0
Bloomfield,MO,Stoddard County Sheriff's Office,Drones,DJI,2020,2020.0
Galena,MO,Stone County Sheriff's Office,Drones,DJI,2020,2020.0
Storm Lake,IA,Storm Lake Police Department,Drones,,2020,2020.0
Dover,NH,Strafford County Sheriff's Office,Drones,DJI,2020,2020.0
Streetsboro,OH,Streetsboro Police Department,Drones,DJI,2020,2020.0
Strongsville,OH,Strongsville Police Department,Drones,,2020,2020.0
Yaphank,NY,Suffolk County Police Department,Drones,DJI,2022,2022.0
Suffolk,VA,Suffolk Police Department,Drones,Aeryon Labs,2020,2020.0
Monticello,NY,Sullivan County Sheriff's Office,Drones,DJI,2022,2022.0
Park City,UT,Summit County Sheriff's Office,Drones,,2020,2020.0
Wellington,KS,Sumner County Sheriff's Office,Drones,,2020,2020.0
Sunnyvale,CA,Sunnyvale Department of Public Safety,Drones,"DJI, Brinc",7/16/1905,1905.0
Sunrise,FL,Sunrise Police Department,Drones,DJI,2020,2020.0
Superior,WI,Superior Police Department,Drones,DJI,2020,2020.0
Montrose,PA,Susquehanna County District Attorneys Office,Drones,DJI,2020,2020.0
Swansea,MA,Swansea Police Department,Drones,,2020,2020.0
Swinomish,WA,Swinomish Police Department,Drones,DJI,2020,2020.0
Talladega,AL,Talladega County Sheriff's Office,Drones,DJI,2020,2020.0
Tampa,FL,Tampa Police Department,Drones,,2020,2020.0
Pekin,IL,Tazewell County Sheriff's Office,Drones,"HSE, DJI",2022,2022.0
Shawnee,OK,Tecumseh Police Department,Drones,,2020,2020.0
Temple,TX,Temple Police Department,Drones,DJI,2020,2020.0
Tewksbury,MA,Tewksbury Police Department,Drones,DJI,2020,2020.0
Austin,TX,Texas Department of Public Safety,Drones,Aeryon Labs,2020,2020.0
Austin,TX,Texas Parks and Wildlife Department Law Enforcement Division,Drones,DJI,2020,2020.0
The Colony,TX,The Colony Police Department,Drones,DJI,2020,2020.0
Thibodaux,LA,Thibodaux Police Department,Drones,DJI,,
Thomasville,GA,Thomas County Sheriff's Office,Drones,DJI,2020,2020.0
Thomasville,GA,Thomasville Police Department,Drones,DJI,2020,2020.0
Olympia,WA,Thurston County Sheriff's Office,Drones,DJI,2020,2020.0
Tiburon,CA,Tiburon Police Department,Drones,,2020,2020.0
Lafayette,IN,Tippecanoe County Sheriff's Office,Drones,DJI,2020,2020.0
Mount Pleasant,TX,Titus County Sheriff's Office,Drones,,2020,2020.0
Toledo,OH,Toledo Police Department,Drones,DJI,2020,2020.0
San Angelo,TX,Tom Green County Sheriff's Office,Drones,DJI,2020,2020.0
Tombstone,AZ,Tombstone Marhsal's Office,Drones,DJI,2020,2020.0
Topeka,KS,Topeka Police Department,Drones,DJI,2020,2020.0
Torrance,CA,Torrance Police Department,Drones,DJI,05/23/2023,2023.0
Whitehall,WI,Trempealeau County Sheriff's Office,Drones,,2020,2020.0
Trumbull,CT,Trumbull Police Department,Drones,,2020,2020.0
Tukwila,WA,Tukwila Police Department,Drones,DJI,2020,2020.0
Visalia,CA,Tulare County Sheriff's Office,Drones,DJI,2023,2023.0
Sonora,CA,Tuolumne County Sheriff's Office,Drones,,2020,2020.0
New Philadelphia,OH,Tuscarawas County Sheriff's Office,Drones,DJI,2020,2020.0
Caro,MI,Tuscola County Sheriff's Office,Drones,,2020,2020.0
Tucson,AZ,Tucson Police Department,Drones,DJI,03/23/2021,2021.0
Twin Falls,ID,Twin Falls County Sheriff's Office,Drones,DJI,2020,2020.0
Twinsburg,OH,Twinsburg Police Department,Drones,,2020,2020.0
Tyler,TX,Tyler Police Department,Drones,DJI,2020,2020.0
Accord,NY,Ulster County Sheriff's Office,Drones,DJI,2020,2020.0
Pendleton,OR,Umatilla County Sheriff's Office,Drones,ATI,11/18/2024,2024.0
Marysville,OH,Union County Sheriff's Office,Drones,Leptron,2020,2020.0
Elk Point,SD,Union County Sheriff's Office,Drones,,2020,2020.0
El Dorado,AR,Union County Sheriff's Office,Drones,DJI,2020,2020.0
Union,NJ,Union Township Police Department,Drones,DJI,2020,2020.0
Hunstville,AL,University of Alabama in Huntsville Police Department,Drones,,2020,2020.0
Fort Smith,AR,University of Arkansas - Fort Smith Police Department,Drones,DJI,2020,2020.0
Upland,CA,Upland Police Department,Drones,"Sky-Hero, Autel Robotics",06/21/2023,2023.0
Upper Merion Township,PA,Upper Merion Township Police Department,Drones,,2020,2020.0
Upper Uwchlan,PA,Upper Uwchlan Police Department,Drones,DJI,2020,2020.0
Spanish Fork,UT,Utah County Sheriff's Office,Drones,,2020,2020.0
Taylorsville,UT,Utah Highway Patrol,Drones,DJI,2020,2020.0
Utica,NY,Utica Police Department,Drones,Yuneec,2020,2020.0
Vacaville,CA,Vacaville Police Department,Drones,DJI,2023,2023.0
Valparaiso,IN,Valparaiso Police Department,Drones,DJI,2020,2020.0
Evansville,IN,Vanderburgh County Sheriff's Office,Drones,DJI,2020,2020.0
Ventura,CA,Ventura County Sheriff's Office,Drones,,05/16/2024,2024.0
Ventura,CA,Ventura Police Department,Drones,,06/12/2023,2023.0
Newport,VT,Vermont State Police,Drones,DJI,2020,2020.0
Vernon,CT,Vernon Police Department,Drones,DJI,2020,2020.0
Vicksburg,MS,Vicksburg Police Department,Drones,,2020,2020.0
Vicksburg,VA,Vicksburg Police Department,Drones,DJI,2020,2020.0
Victoria,TX,Victoria County Sheriff's Office,Drones,,2020,2020.0
Victoria,TX,Victoria Police Department,Drones,DJI,2020,2020.0
Vidalia,LA,Vidalia Police Department,Drones,DJI,2020,2020.0
Terre Haute,IN,Vigo County Sheriff's Office,Drones,DJI,2020,2020.0
Virginia Beach,VA,Virginia Beach Police Department,Drones,DJI,2020,2020.0
Daytona Beach,FL,Volusia County Sheriff's Office,Drones,DJI,2020,2020.0
Wadena,MN,Wadena County Sheriff's Office,Drones,DJI,6/14/2024,2024.0
Walla Walla,WA,Walla Walla Police Department,Drones,DJI,2020,2020.0
De Funiak Springs,FL,Walton County Sheriff's Office,Drones,,2020,2020.0
Elkhorn,WI,Walworth County Sheriff's Office,Drones,,2020,2020.0
Washington,PA,Warren County Department of Public Safety,Drones,DJI,2020,2020.0
Boonville,IN,Warrick County Seriff's Office,Drones,DJI,2020,2020.0
Fort Edward,NY,Washington County Department of Public Safety,Drones,DJI,2022,2022.0
Fayetteville,AR,Washington County Sheriff's Office,Drones,DJI,12/24/2023,2023.0
Stillwater,MN,Washington County Sheriff's Office,Drones,DJI,6/14/2024,2024.0
Marietta,OH,Washington County Sheriff's Office,Drones,DJI,2020,2020.0
West Bend,WI,Washington County Sheriff's Office,Drones,DJI,2020,2020.0
Olympia,WA,Washington State Patrol,Drones,DJI,2020,2020.0
Reno,NV,Washoe County Sheriff's Office,Drones,Drone America,10/25/2020,2020.0
Waterbury,CT,Waterbury Police Department,Drones,DJI,2020,2020.0
Waukesha,WI,Waukesha Police Department,Drones,DJI,2020,2020.0
Waxahachie,TX,Waxahachie Police Department,Drones,DJI,2020,2020.0
Goldsboro,NC,Wayne County Sheriff's Office,Drones,,2020,2020.0
Waynesboro,TN,Wayne County Sheriff's Office,Drones,DJI,2020,2020.0
Weatherford,OK,Weatherford Police Department,Drones,,2020,2020.0
Webster,TX,Webster Police Department,Drones,,2020,2020.0
Wentzville,MO,Wentzville Police Department,Drones,DJI,2020,2020.0
West Bloomfield Township,MI,West Bloomfield Police Department,Drones,,2020,2020.0
West Covina,CA,West Covina Police Department,Drones,DJI,2022,2022.0
West Dundee,IL,West Dundee Police Department,Drones,Yuneec,2022,2022.0
West Hempfield Township,PA,West Hempfield Township Police Department,Drones,Yuneec,2020,2020.0
West Palm Beach,FL,West Palm Beach Police Department,Drones,,2024,2024.0
West Salem,WI,West Salem Police Department,Drones,DJI,2020,2020.0
West Seneca,NY,West Seneca Police Department,Drones,R4 Robotics,2022,2022.0
West Valley City,UT,West Valley City Police Department,Drones,,2020,2020.0
West Windsor Township,NJ,West Windsor Police Department,Drones,DJI,2020,2020.0
Westboro,MA,Westborough Police Department,Drones,DJI,2020,2020.0
Westborough,MA,Westborough Police Department,Drones,,2020,2020.0
Westfield,MA,Westfield Police Department,Drones,,2020,2020.0
Westport,CT,Westport Police Department,Drones,DJI,2020,2020.0
Weyauwega,WI,Weyauwega Police Department,Drones,DJI,2020,2020.0
Bellingham,WA,Whatcom County Sheriff's Office,Drones,,2020,2020.0
Monticello,IN,White County Sheriff's Office,Drones,DJI,2020,2020.0
Dalton,GA,Whitfield County Sheriff's Office,Drones,,2020,2020.0
Wichita,KS,Wichita Police Department,Drones,,2020,2020.0
Breckenridge,MN,Wilkin County Sheriff's Office,Drones,DJI,2020,2020.0
Bryan,OH,Williams County Sheriff's Office,Drones,DJI,2020,2020.0
Georgetown,TX,Williamson County Sheriff's Office,Drones,"DJI, Physical Sciences",2020,2020.0
Franklin,TN,Williamson County Sheriff's Office,Drones,"DJI, Physical Sciences",2020,2020.0
Williamsport,PA,Williamsport Police Department,Drones,DJI,2020,2020.0
Willmar,MN,Willmar Police Department,Drones,,6/14/2024,2024.0
Wilmington,DE,Wilmington Police Department,Drones,DJI,07/22/2021,2021.0
Windham,ME,Windham Police Department,Drones,DJI,2020,2020.0
Windom,MN,Windom Police Department,Drones,DJI,6/14/2024,2024.0
Winona,MN,Winona County Sheriff's Office,Drones,,6/14/2024,2024.0
Winslow Township,NJ,Winslow Township Police Department,Drones,,2020,2020.0
Winter Haven,FL,Winter Haven Police Department,Drones,,2020,2020.0
Madison,WI,Wisconsin Department of Justice,Drones,,2020,2020.0
Milwaukee,WI,Wisconsin State Capitol Police Department,Drones,,2020,2020.0
Madison,WI,Wisconsin State Patrol,Drones,,2020,2020.0
Bowling Green,OH,Wood County Sheriff's Office,Drones,DJI,2020,2020.0
Quitman,TX,Wood County Sheriff's Office,Drones,Yuneec,2020,2020.0
Wisconsin Rapids,WI,Wood County Sheriff's Office,Drones,DJI,2020,2020.0
Hornick,IA,Woodbury County Sheriff's Office,Drones,,2020,2020.0
Woodbury,CT,Woodbury Police Department,Drones,,2020,2020.0
Buffalo,MN,Wright County Sheriff's Office,Drones,,6/14/2024,2024.0
Yarmouth,MA,Yarmouth Police Department,Drones,DJI,2020,2020.0
Prescott,AZ,Yavapai County Sheriff's Office,Drones,,2020,2020.0
Danville,AR,Yell County Sheriff's Office,Drones,DJI,02/12/2019,2019.0
York,SC,York County Sheriff's Office,Drones,DJI,2020,2020.0
Yorktown,NY,Yorktown Police Department,Drones,DJI,2020,2020.0
Marysville,CA,Yuba County Sheriff's Office,Drones,"DJI, Autel Robotics, Brinc",03/14/2024,2024.0
Alexandria,VA,Alexandria Police Department,Cell-site Simulator,,4/11/2017,2017.0
Anaheim,CA,Anaheim Police Department,Cell-site Simulator,Tactical Support Equipment,06/09/2020,2020.0
Annapolis,MD,Annapolis Police Department,Cell-site Simulator,,4/11/2017,2017.0
Annapolis,MD,Anne Arundel County Sheriff's Office,Cell-site Simulator,Jacobs Technology,02/09/2022,2022.0
Baltimore,MD,Baltimore Police Department,Cell-site Simulator,,8/25/2022,2022.0
Townson,MD,Baltimore County Police Department,Cell-site Simulator,Jacobs Technology,2/20/2024,2024.0
Boston,MA,Boston Police Department,Cell-site Simulator,Tactical Support Equipment,7/2024,2024.0
Sacramento,CA,California Department of Justice,Cell-site Simulator,,4/11/2017,2017.0
Charlotte,NC,Charlotte-Mecklenburg Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Chesterfield,VA,Chesterfield County Police Department,Cell-site Simulator,Tactical Support Equipment,4/11/2017,2017.0
Chicago,IL,Chicago Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Dover,DE,Delaware State Police,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Buffalo,NY,Erie County Sheriff's Office,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Tallahassee,FL,Florida Department of Law Enforcement,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Fort Worth,TX,Fort Worth Police Department,Cell-site Simulator,Tactical Support Equipment,11/19/2020,2020.0
Lawrenceville,GA,Gwinnett County Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Bel Air,MD,Hartford County Sheriff's Office,Cell-site Simulator,Digital Receiver Technology,4/11/2017,2017.0
Minneapolis,MN,Hennepin County Sheriff's Office,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Houston,TX,Houston Police Department,Cell-site Simulator,,4/11/2017,2017.0
Ellicott,MD,Howard County Police Department,Cell-site Simulator,,4/11/2017,2017.0
Springfield,IL,Illinois State Police,Cell-site Simulator,,4/11/2017,2017.0
Indianapolis,IN,Indiana State Police,Cell-site Simulator,Jacobs Technology,2/20/2024,2024.0
Indianapolis,IN,Indianapolis Metropolitan Police Department,Cell-site Simulator,,4/11/2017,2017.0
Jacksonville,FL,Jacksonville Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Kansas City,MO,Kansas City Police Department,Cell-site Simulator,,4/11/2017,2017.0
Las Vegas,NV,Las Vegas Metropolitan Police Department,Cell-site Simulator,,4/11/2017,2017.0
Los Angeles,CA,Los Angeles Police Department,Cell-site Simulator,Digital Receiver Technology,4/11/2017,2017.0
Los Angeles,CA,Los Angeles County Sheriff's Department,Cell-site Simulator,,4/11/2017,2017.0
Baton Rouge,LA,Louisiana Department of Justice,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Pikesville,MD,Maryland State Police,Cell-site Simulator,,4/11/2017,2017.0
Memphis,TN,Memphis Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Miami,FL,Miami Police Department,Cell-site Simulator,,4/11/2017,2017.0
Doral,FL,Miami-Dade Police Department,Cell-site Simulator,Tactical Support Equipment,05/05/2020,2020.0
Dimondale,MI,Michigan State Police,Cell-site Simulator,Harris Corp.,03/16/2021,2021.0
Milwaukee,WI,Milwaukee Police Department,Cell-site Simulator,Tactical Support Equipment,03/16/2021,2021.0
St. Paul,MN,Minnesota Bureau of Criminal Apprehension,Cell-site Simulator,,4/11/2017,2017.0
Montgomery,AL,Montgomery Police Department,Cell-site Simulator,,4/11/2017,2017.0
New York City,NY,New York Police Department,Cell-site Simulator,Jacobs Technology,2/25/2021,2021.0
Albany,NY,New York State Police,Cell-site Simulator,,4/11/2017,2017.0
Oklahoma City,OK,Oklahoma Bureau of Narcotics and Dangerous Drugs,Cell-site Simulator,,4/11/2017,2017.0
Harrisburg,PA,Pennsylvania State Police,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Phoenix,AZ,Phoenix Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Upper Marlboro,MD,Prince George's County Sheriff's Office,Cell-site Simulator,Jacobs Technology,2/20/2024,2024.0
Raleigh,NC,Raleigh Police Department,Cell-site Simulator,Jacobs Technology,2/20/2024,2024.0
Rochester,NY,Rochester Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Sacramento,CA,Sacramento County Sheriff's Office,Cell-site Simulator,,4/11/2017,2017.0
San Bernardino,CA,San Bernardino County Sheriff's Department,Cell-site Simulator,Tactical Support Equipment,3/29/2022,2022.0
San Diego,CA,San Diego Police Department,Cell-site Simulator,,4/11/2017,2017.0
San Francisco,CA,San Francisco Police Department,Cell-site Simulator,,4/11/2017,2017.0
San Jose,CA,San Jose Police Department,Cell-site Simulator,,4/11/2017,2017.0
Scottsdale,AZ,Scottsdale Police Department,Cell-site Simulator,Jacobs Technology,2023,2023.0
St. Louis,MO,St. Louis Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Sunrise,FL,Sunrise Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Tacoma,WA,Tacoma Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Tempe,AZ,Tempe Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Austin,TX,Texas Department of Public Safety,Cell-site Simulator,,4/11/2017,2017.0
Tucson,AZ,Tucson Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Ventura,CA,Ventura County Sheriff's Office,Cell-site Simulator,,4/11/2017,2017.0
Richmond,VA,Virginia State Police,Cell-site Simulator,Jacobs Technology,2/20/2024,2024.0
Washington,DC,Metropolitan Police Department,Cell-site Simulator,Harris Corp.,4/11/2017,2017.0
Madison,WI,Wisconsin Department of Justice,Cell-site Simulator,Tactical Support Equipment,2022,2022.0
Durham,NC,Durham Police Department,Face Recognition,DataWorks Plus,01/20/2020,2020.0
Pleasant Hill,CA,Pleasant Hill Police Department,Automated License Plate Readers,,11/2/2009,2009.0
Tiburon,CA,Tiburon Police Department,Automated License Plate Readers,Motorola Solutions,7/15/1905,1905.0
